orden_id,cliente_id,fecha_pedido,fecha_entrega,fecha_proceso,canal_venta,estado,monto_total,es_duplicado,orden_id_original_duplicado,fecha_proceso_original,fecha_pedido_original,fecha_entrega_original,estado_original,monto_total_original,motivo_rechazo
ORD-003733,C00446,2026-01-20,2026-01-20,2026-01-21,APP B2B,ENTREGADO,522.16,True,ORD-003733,2026-01-21,2026-01-20,2026-01-20,Entregado,522.16,❌ orden_id: duplicado (CRÍTICO - ORD-003733 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000371,C00094,2025-06-02,2025-06-02,2025-06-03,VENDEDOR,ENTREGADO,-33.05,False,,2025-06-03,2025-06-02,2025-06-02,ENTREGADO,-33.05,monto_total: debe ser > 0 (valor: -33.05)
ORD-004214,C00002,2026-02-27,2026-02-28,2026-02-28,VENDEDOR,ENTREGADO,469.91,True,ORD-004214,2026-02-28,2026-02-27,2026-02-28,ENTREGADO,469.91,❌ orden_id: duplicado (CRÍTICO - ORD-004214 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002702,C00505,2025-11-22,2025-11-25,2025-11-26,VENDEDOR,ENTREGADO,0.0,False,,2025-11-26,2025-11-22,2025-11-25,Entregado,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-002420,C00090,2025-11-16,2025-11-17,2025-11-18,TELEVENTAS,ENTREGADO,523.02,True,ORD-002420,2025-11-18,2025-11-16,2025-11-17,ENTREGADO,523.02,❌ orden_id: duplicado (CRÍTICO - ORD-002420 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000427,C00145,2025-06-20,2025-06-20,2025-06-21,APP B2B,ENTREGADO,354.35,True,ORD-000427,2025-06-21,2025-06-20,2025-06-20,Entregado,354.35,❌ orden_id: duplicado (CRÍTICO - ORD-000427 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003674,C00028,2026-01-15,2026-01-18,2026-01-18,VENDEDOR,ENTREGADO,274.07,True,ORD-003674,2026-01-18,2026-01-15,2026-01-18,Entregado,274.07,❌ orden_id: duplicado (CRÍTICO - ORD-003674 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002504,C00429,2025-11-16,2025-11-16,2025-11-17,VENDEDOR,ENTREGADO,211.64,True,ORD-002504,2025-11-17,2025-11-16,2025-11-16,Entregado,211.64,❌ orden_id: duplicado (CRÍTICO - ORD-002504 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003636,C00160,2026-01-12,2026-01-12,2026-01-12,APP B2B,ENTREGADO,-6.17,False,,2026-01-12,2026-01-12,2026-01-12,ENTREGADO,-6.17,monto_total: debe ser > 0 (valor: -6.17)
ORD-001789,C00065,2025-09-24,2025-09-26,2025-09-26,VENDEDOR,ENTREGADO,-31.77,False,,2025-09-26,2025-09-24,2025-09-26,Entregado,-31.77,monto_total: debe ser > 0 (valor: -31.77)
ORD-004818,C00045,2026-03-26,2026-03-26,2026-03-27,VENDEDOR,ENTREGADO,44.27,True,ORD-004818,2026-03-27,2026-03-26,2026-03-26,ENTREGADO,44.27,❌ orden_id: duplicado (CRÍTICO - ORD-004818 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001314,C00402,2025-08-01,2025-08-01,2025-08-02,APP B2B,ENTREGADO,384.56,True,ORD-001314,2025-08-02,2025-08-01,2025-08-01,ENTREGADO,384.56,❌ orden_id: duplicado (CRÍTICO - ORD-001314 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002973,C00028,2025-12-28,2025-12-31,2025-12-31,APP B2B,ENTREGADO,625.91,True,ORD-002973,2025-12-31,2025-12-28,2025-12-31,ENTREGADO,625.91,❌ orden_id: duplicado (CRÍTICO - ORD-002973 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004850,C00525,2026-03-24,2026-03-27,2026-03-28,APP B2B,ENTREGADO,755.27,True,ORD-004850,2026-03-28,2026-03-24,2026-03-27,ENTREGADO,755.27,❌ orden_id: duplicado (CRÍTICO - ORD-004850 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-005066,C00013,2026-04-29,2026-04-30,2026-05-01,APP B2B,ENTREGADO,312.97,True,ORD-005066,2026-05-01,2026-04-29,2026-04-30,Entregado,312.97,❌ orden_id: duplicado (CRÍTICO - ORD-005066 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004199,C00055,2026-02-13,2026-02-15,2026-02-16,APP B2B,ENTREGADO,0.0,False,,2026-02-16,2026-02-13,2026-02-15,entregado,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-000140,C00026,2025-06-07,2025-06-07,2025-06-07,VENDEDOR,ENTREGADO,602.07,True,ORD-000140,2025-06-07,2025-06-07,2025-06-07,Entregado,602.07,❌ orden_id: duplicado (CRÍTICO - ORD-000140 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001125,C00376,2025-08-03,2025-08-06,2025-08-07,APP B2B,DEVUELTO,0.0,False,,2025-08-07,2025-08-03,2025-08-06,DEVUELTO,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-004521,C00001,2026-03-19,2026-03-19,2026-03-20,VENDEDOR,ENTREGADO,250.99,True,ORD-004521,2026-03-20,2026-03-19,19/03/2026,ENTREGADO,250.99,❌ orden_id: duplicado (CRÍTICO - ORD-004521 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002662,C00551,2025-11-05,2025-11-05,2025-11-06,APP B2B,ENTREGADO,442.58,True,ORD-002662,2025-11-06,2025-11-05,2025-11-05,ENTREGADO,442.58,❌ orden_id: duplicado (CRÍTICO - ORD-002662 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004234,C00684,2026-02-18,2026-02-18,2026-02-19,APP B2B,ENTREGADO,299.73,True,ORD-004234,2026-02-19,2026-02-18,2026-02-18,ENTREGADO,299.73,❌ orden_id: duplicado (CRÍTICO - ORD-004234 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001741,C00302,2025-09-28,2025-10-01,2025-10-01,TELEVENTAS,ENTREGADO,273.02,True,ORD-001741,2025-10-01,2025-09-28,2025-10-01,ENTREGADO,273.02,❌ orden_id: duplicado (CRÍTICO - ORD-001741 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003875,C00745,2026-01-10,2026-01-11,2026-01-12,VENDEDOR,ENTREGADO,148.27,True,ORD-003875,2026-01-12,2026-01-10,2026-01-11,entregado,148.27,❌ orden_id: duplicado (CRÍTICO - ORD-003875 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001154,C00237,2025-08-04,2025-08-04,2025-08-04,TELEVENTAS,ENTREGADO,142.18,True,ORD-001154,2025-08-04,2025-08-04,2025-08-04,entregado,142.18,❌ orden_id: duplicado (CRÍTICO - ORD-001154 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002784,C00237,2025-11-22,2025-11-25,2025-11-26,TELEVENTAS,ENTREGADO,141.7,True,ORD-002784,2025-11-26,2025-11-22,2025-11-25,ENTREGADO,141.7,❌ orden_id: duplicado (CRÍTICO - ORD-002784 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001464,C00324,2025-08-12,2025-08-12,2025-08-12,APP B2B,ENTREGADO,781.98,True,ORD-001464,2025-08-12,2025-08-12,2025-08-12,ENTREGADO,781.98,❌ orden_id: duplicado (CRÍTICO - ORD-001464 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004784,C00003,2026-03-26,2026-03-28,2026-03-29,APP B2B,ENTREGADO,0.0,False,,2026-03-29,2026-03-26,2026-03-28,ENTREGADO,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-001962,C00703,2025-10-17,2025-10-17,2025-10-17,APP B2B,ENTREGADO,678.99,True,ORD-001962,2025-10-17,2025-10-17,2025-10-17,Entregado,678.99,❌ orden_id: duplicado (CRÍTICO - ORD-001962 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003943,C00108,2026-01-25,2026-01-28,2026-01-29,APP B2B,ENTREGADO,0.0,False,,2026-01-29,2026-01-25,2026-01-28,ENTREGADO,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-001120,C00013,2025-08-02,2025-08-04,2025-08-04,VENDEDOR,ENTREGADO,286.84,True,ORD-001120,2025-08-04,2025-08-02,2025-08-04,entregado,286.84,❌ orden_id: duplicado (CRÍTICO - ORD-001120 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003742,C00269,2026-01-15,2026-01-18,2026-01-19,VENDEDOR,ENTREGADO,0.0,False,,2026-01-19,2026-01-15,2026-01-18,entregado,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-003491,C00116,2025-12-26,2025-12-26,2025-12-27,TELEVENTAS,ENTREGADO,322.32,True,ORD-003491,2025-12-27,2025-12-26,2025-12-26,ENTREGADO,322.32,❌ orden_id: duplicado (CRÍTICO - ORD-003491 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004646,C00092,2026-03-29,2026-03-29,2026-03-29,VENDEDOR,ENTREGADO,-20.45,False,,2026-03-29,2026-03-29,2026-03-29,ENTREGADO,-20.45,monto_total: debe ser > 0 (valor: -20.45)
ORD-005088,C00343,2026-04-17,2026-04-19,2026-04-19,TELEVENTAS,ENTREGADO,242.27,True,ORD-005088,2026-04-19,2026-04-17,2026-04-19,Entregado,242.27,❌ orden_id: duplicado (CRÍTICO - ORD-005088 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002082,C00004,2025-10-25,2025-10-26,2025-10-27,VENDEDOR,ENTREGADO,232.07,True,ORD-002082,2025-10-27,2025-10-25,2025-10-26,ENTREGADO,232.07,❌ orden_id: duplicado (CRÍTICO - ORD-002082 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003445,C00020,2025-12-21,2025-12-21,2025-12-21,APP B2B,ENTREGADO,0.0,False,,2025-12-21,2025-12-21,2025-12-21,ENTREGADO,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-004549,C00520,2026-03-18,2026-03-21,2026-03-21,TELEVENTAS,ENTREGADO,135.35,True,ORD-004549,2026-03-21,2026-03-18,2026-03-21,ENTREGADO,135.35,❌ orden_id: duplicado (CRÍTICO - ORD-004549 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-005358,C00116,2026-05-20,2026-05-23,2026-05-24,VENDEDOR,ENTREGADO,-13.65,False,,2026-05-24,2026-05-20,2026-05-23,Entregado,-13.65,monto_total: debe ser > 0 (valor: -13.65)
ORD-002865,C00016,2025-11-21,2025-11-24,2025-11-25,TELEVENTAS,ENTREGADO,162.69,True,ORD-002865,2025-11-25,2025-11-21,2025-11-24,ENTREGADO,162.69,❌ orden_id: duplicado (CRÍTICO - ORD-002865 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004408,C00009,2026-02-09,2026-02-10,2026-02-11,APP B2B,ENTREGADO,96.33,True,ORD-004408,2026-02-11,2026-02-09,2026-02-10,Entregado,96.33,❌ orden_id: duplicado (CRÍTICO - ORD-004408 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000376,C00403,2025-06-18,2025-06-21,2025-06-21,APP B2B,ENTREGADO,547.07,True,ORD-000376,2025-06-21,2025-06-18,2025-06-21,ENTREGADO,547.07,❌ orden_id: duplicado (CRÍTICO - ORD-000376 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-005243,C00363,2026-04-30,2026-04-30,2026-05-01,APP B2B,ENTREGADO,596.76,True,ORD-005243,2026-05-01,2026-04-30,2026-04-30,entregado,596.76,❌ orden_id: duplicado (CRÍTICO - ORD-005243 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004094,C00076,2026-02-05,2026-02-05,2026-02-06,VENDEDOR,ENTREGADO,182.7,True,ORD-004094,2026-02-06,2026-02-05,2026-02-05,ENTREGADO,182.7,❌ orden_id: duplicado (CRÍTICO - ORD-004094 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003499,C00622,2025-12-24,2025-12-26,2025-12-26,VENDEDOR,ENTREGADO,128.76,True,ORD-003499,2025-12-26,2025-12-24,2025-12-26,ENTREGADO,128.76,❌ orden_id: duplicado (CRÍTICO - ORD-003499 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002379,C00394,2025-10-05,2025-10-08,2025-10-09,APP B2B,ENTREGADO,549.74,True,ORD-002379,2025-10-09,2025-10-05,2025-10-08,Entregado,549.74,❌ orden_id: duplicado (CRÍTICO - ORD-002379 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003605,C00421,2026-01-18,2026-01-21,2026-01-21,VENDEDOR,ENTREGADO,135.73,True,ORD-003605,2026-01-21,2026-01-18,2026-01-21,entregado,135.73,❌ orden_id: duplicado (CRÍTICO - ORD-003605 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001813,C00316,2025-09-01,2025-09-03,2025-09-04,APP B2B,PENDIENTE,0.0,False,,2025-09-04,2025-09-01,2025-09-03,PENDIENTE,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-001380,C00111,2025-08-26,2025-08-27,2025-08-27,TELEVENTAS,ENTREGADO,890.01,True,ORD-001380,2025-08-27,2025-08-26,2025-08-27,entregado,890.01,❌ orden_id: duplicado (CRÍTICO - ORD-001380 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004061,C00243,2026-02-04,2026-02-07,2026-02-08,APP B2B,ENTREGADO,107.1,True,ORD-004061,2026-02-08,2026-02-04,2026-02-07,entregado,107.1,❌ orden_id: duplicado (CRÍTICO - ORD-004061 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004307,C00634,2026-02-17,2026-02-19,2026-02-20,TELEVENTAS,ENTREGADO,297.64,True,ORD-004307,2026-02-20,2026-02-17,2026-02-19,ENTREGADO,297.64,❌ orden_id: duplicado (CRÍTICO - ORD-004307 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002229,C00004,2025-10-17,2025-10-19,2025-10-24,DISTRIBUIDOR,ENTREGADO,0.0,False,,2025-10-24,2025-10-17,2025-10-19,entregado,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-000503,C00124,2025-07-28,2025-07-28,2025-07-28,VENDEDOR,ENTREGADO,304.82,True,ORD-000503,2025-07-28,2025-07-28,2025-07-28,ENTREGADO,304.82,❌ orden_id: duplicado (CRÍTICO - ORD-000503 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001644,C00006,2025-09-11,2025-09-12,2025-09-13,APP B2B,ENTREGADO,425.23,True,ORD-001644,2025-09-13,2025-09-11,2025-09-12,ENTREGADO,425.23,❌ orden_id: duplicado (CRÍTICO - ORD-001644 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-003943,C00108,2026-01-25,2026-01-28,2026-01-28,APP B2B,ENTREGADO,0.0,True,ORD-003943,2026-01-28,2026-01-25,2026-01-28,ENTREGADO,0.0,❌ orden_id: duplicado (CRÍTICO - ORD-003943 ya existe con fecha_proceso más reciente) - Este registro va a data sucia | monto_total: debe ser > 0 (valor: 0.0)
ORD-004680,C00087,2026-03-05,2026-03-07,2026-03-08,VENDEDOR,ENTREGADO,0.0,False,,2026-03-08,2026-03-05,2026-03-07,Entregado,0.0,monto_total: debe ser > 0 (valor: 0.0)
ORD-003417,C00085,2025-12-07,2025-12-10,2025-12-11,APP B2B,ENTREGADO,176.0,True,ORD-003417,2025-12-11,2025-12-07,2025-12-10,entregado,176.0,❌ orden_id: duplicado (CRÍTICO - ORD-003417 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-002201,C00316,2025-10-09,2025-10-11,2025-10-11,APP B2B,ENTREGADO,1018.48,True,ORD-002201,2025-10-11,2025-10-09,2025-10-11,entregado,1018.48,❌ orden_id: duplicado (CRÍTICO - ORD-002201 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000825,C00062,2025-07-18,2025-07-20,2025-07-20,TELEVENTAS,ENTREGADO,711.37,True,ORD-000825,2025-07-20,2025-07-18,2025-07-20,ENTREGADO,711.37,❌ orden_id: duplicado (CRÍTICO - ORD-000825 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-000342,C00047,2025-06-01,2025-06-03,2025-06-08,DISTRIBUIDOR,ENTREGADO,167.55,True,ORD-000342,2025-06-08,2025-06-01,2025-06-03,Entregado,167.55,❌ orden_id: duplicado (CRÍTICO - ORD-000342 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-001559,C00079,2025-09-30,2025-10-01,2025-10-01,VENDEDOR,ENTREGADO,170.76,True,ORD-001559,2025-10-01,2025-09-30,2025-10-01,entregado,170.76,❌ orden_id: duplicado (CRÍTICO - ORD-001559 ya existe con fecha_proceso más reciente) - Este registro va a data sucia
ORD-004564,C00360,2026-03-21,2026-03-22,2026-03-22,TELEVENTAS,ENTREGADO,-9.43,False,,2026-03-22,2026-03-21,2026-03-22,entregado,-9.43,monto_total: debe ser > 0 (valor: -9.43)
ORD-003574,C00001,2025-12-23,2025-12-23,2025-12-25,DISTRIBUIDOR,ENTREGADO,0.0,False,,2025-12-25,2025-12-23,2025-12-23,Entregado,0.0,monto_total: debe ser > 0 (valor: 0.0)
